name|link|info|price
Apple iPhone 11 128GB (фиолетовый)|https://shop.mts.by//phones/apple/smartphone-apple-iphone-128gb-11-purple/|"Диагональ: 6.1 ""Камера: 12 МпАКБ: 3046 mAhОЗУ: 4 Гб"|от160руб./мес.от2449руб.
Apple iPhone 11 64GB (PRODUCT)RED|https://shop.mts.by//phones/apple/smartphone-apple-iphone-11-64gb-product-red/|"Диагональ: 6.1 ""Камера: 12 МпАКБ: 3046 mAhОЗУ: 4 Гб"|от130руб./мес.от2299руб.
Apple iPhone 11 128GB (черный)|https://shop.mts.by//phones/apple/smartphone-apple-iphone-128gb-11-black/|"Диагональ: 6.1 ""Камера: 12 МпАКБ: 3046 mAhОЗУ: 4 Гб"|от160руб./мес.от2449руб.
Apple iPhone SE 64GB (2020) (красный)|https://shop.mts.by//phones/apple/smartphone-apple-iphone-64gb-se-red/|"Диагональ: 4.7 ""Камера: 12 МпАКБ: 1812 mAhОЗУ: 3 Гб"|от95руб./мес.от1629руб.
Apple iPhone 11 64GB (черный)|https://shop.mts.by//phones/apple/smartphone-apple-iphone-64gb-11-black/|"Диагональ: 6.1 ""Камера: 12 МпАКБ: 3046 mAhОЗУ: 4 Гб"|от130руб./мес.от2299руб.
Apple iPhone 12 Pro Max 128GB (золото)|https://shop.mts.by//phones/apple/iphone-12-pro-max-128gb-gold/|"Диагональ: 6.7 ""Камера: 12 МпАКБ: 3687 mAhОЗУ: 6 Гб"|от245руб./мес.от4059руб.
Apple iPhone SE 64GB (2020) (черный)|https://shop.mts.by//phones/apple/apple-se-iphone-64gb-black/|"Диагональ: 4.7 ""Камера: 12 МпАКБ: 1812 mAhОЗУ: 3 Гб"|от95руб./мес.от1629руб.
Apple iPhone 12 128GB (фиолетовый)|https://shop.mts.by//phones/apple/iphone-12-128gb-purple/|"Диагональ: 6.1 ""Камера: 12 МпАКБ: 2815 mAhОЗУ: 4 Гб"|от200руб./мес.от3659руб.
Apple iPhone SE 64GB (2020) (белый)|https://shop.mts.by//phones/apple/apple-se-iphone-64gb-white/|Набор аксессуаров(чехол, стекло, наушники, портативный аккумулятор)всего от 2.85 руб/меспо акции “Скидки на аксессуары”|от95руб./мес.от1629руб.
Apple iPhone 11 128GB (зеленый)|https://shop.mts.by//phones/apple/smartphone-apple-iphone-128gb-11-green/|"Диагональ: 6.1 ""Камера: 12 МпАКБ: 3046 mAhОЗУ: 4 Гб"|от160руб./мес.от2449руб.
Apple iPhone 11 64GB (фиолетовый)|https://shop.mts.by//phones/apple/smartphone-apple-iphone-64gb-11-purple/|"Диагональ: 6.1 ""Камера: 12 МпАКБ: 3046 mAhОЗУ: 4 Гб"|от130руб./мес.от2299руб.
Apple iPhone 11 128GB (PRODUCT)RED|https://shop.mts.by//phones/apple/smartphone-apple-iphone-128gb-11-product-red/|"Диагональ: 6.1 ""Камера: 12 МпАКБ: 3046 mAhОЗУ: 4 Гб"|от160руб./мес.от2449руб.
Apple iPhone 12 64GB (PRODUCT)RED|https://shop.mts.by//phones/apple/iphone-12-64gb-product-red/|"Диагональ: 6.1 ""Камера: 12 МпАКБ: 2815 mAhОЗУ: 4 Гб"|от185руб./мес.от3559руб.
Apple iPhone SE 128GB (2020) (черный)|https://shop.mts.by//phones/apple/smartphone-apple-iphone-se-128gb-black/|"Диагональ: 4.7 ""Камера: 12 МпАКБ: 1812 mAhОЗУ: 3 Гб"|от104руб./мес.от1829руб.
Apple iPhone 12 128GB (белый)|https://shop.mts.by//phones/apple/iphone-12-128gb-white/|"Диагональ: 6.1 ""Камера: 12 МпАКБ: 2815 mAhОЗУ: 4 Гб"|от200руб./мес.от3659руб.
Apple iPhone 12 Pro Max 128GB (тихоокеанский синий)|https://shop.mts.by//phones/apple/iphone-12-pro-max-128gb-pacific-blue/|"Диагональ: 6.7 ""Камера: 12 МпАКБ: 3687 mAhОЗУ: 6 Гб"|от245руб./мес.от4059руб.
Apple iPhone 11 64GB (зеленый)|https://shop.mts.by//phones/apple/smartphone-apple-iphone-64gb-11-green/|"Диагональ: 6.1 ""Камера: 12 МпАКБ: 3046 mAhОЗУ: 4 Гб"|от130руб./мес.от2299руб.
Apple iPhone 12 128GB (черный)|https://shop.mts.by//phones/apple/iphone-12-128gb-black/|"Диагональ: 6.1 ""Камера: 12 МпАКБ: 2815 mAhОЗУ: 4 Гб"|от200руб./мес.от3659руб.
Apple iPhone 12 Pro 256GB (золото)|https://shop.mts.by//phones/apple/iphone-12-pro-256gb-gold/|"Диагональ: 6.1 ""Камера: 12 МпАКБ: 2815 mAhОЗУ: 6 Гб"|от235руб./мес.от4059руб.
Apple iPhone 13 256GB (сияющая звезда)|https://shop.mts.by//phones/apple/apple-iphone-13-256gb-white/|"Диагональ: 6.1 ""Камера: 12 МпАКБ: 3227 mAhОЗУ: 4 Гб"|от200руб./мес.от3959руб.
