name|link|info|price
Xiaomi Redmi Note 11 Pro 8/128GB (графитовый серый)|https://shop.mts.by//phones/xiaomi/xiaomi-redmi-note-11-pro-8-128gb-gray/|"Диагональ: 6.67 ""Камера: 108 МпАКБ: 5000 mAhОЗУ: 8 Гб"|от45.63руб./мес.от1029руб.
Xiaomi Redmi 9A 2/32GB (серый)|https://shop.mts.by//phones/xiaomi/smartphone-xiaomi-redmi-2-9a-32gb-gray/|"Диагональ: 6.53 ""Камера: 13 МпАКБ: 5000 mAhОЗУ: 2 Гб"|от14руб./мес.от279руб.
Xiaomi 11T 8/256GB (метеоритный серый)|https://shop.mts.by//phones/xiaomi/xiaomi-11t-8-256gb-gray/|"Диагональ: 6.67 ""Камера: 108 МпАКБ: 5000 mAhОЗУ: 8 Гб"|от63руб./мес.от1289руб.
Xiaomi Redmi 9A 2/32GB (зеленый)|https://shop.mts.by//phones/xiaomi/smartphone-xiaomi-redmi-2-9a-32gb-green/|"Диагональ: 6.53 ""Камера: 13 МпАКБ: 5000 mAhОЗУ: 2 Гб"|от14руб./мес.от279руб.
Xiaomi Redmi 9A 2/32GB (синий)|https://shop.mts.by//phones/xiaomi/smartphone-xiaomi-redmi-2-9a-32gb-blue/|"Диагональ: 6.53 ""Камера: 13 МпАКБ: 5000 mAhОЗУ: 2 Гб"|от14руб./мес.от279руб.
Xiaomi Redmi Note 11 Pro 8/128GB (синие звезды)|https://shop.mts.by//phones/xiaomi/xiaomi-redmi-note-11-pro-8-128gb-blue/|"Диагональ: 6.67 ""Камера: 108 МпАКБ: 5000 mAhОЗУ: 8 Гб"|от45.63руб./мес.от1029руб.
Xiaomi Redmi Note 11 4/128GB (графитовый серый)|https://shop.mts.by//phones/xiaomi/xiaomi-redmi-note-11-4-128gb-gray/|"Диагональ: 6.43 ""Камера: 50 МпАКБ: 5000 mAhОЗУ: 4 Гб"|от37руб./мес.от679руб.
Xiaomi 11T 8/256GB (небесный голубой)|https://shop.mts.by//phones/xiaomi/xiaomi-11t-8-256gb-blue/|"Диагональ: 6.67 ""Камера: 108 МпАКБ: 5000 mAhОЗУ: 8 Гб"|от63руб./мес.от1289руб.
Xiaomi Redmi 10C 4/128Gb без NFC (мятно-зеленый)|https://shop.mts.by//phones/xiaomi/xiaomi-redmi-10c-4-128gb-bez-nfc-green/|"Диагональ: 6.71 ""Камера: 50 МпАКБ: 5000 mAhОЗУ: 4 Гб"|от27руб./мес.от589.00руб.
Xiaomi Redmi 10C 3/64Gb без NFC (мятно-зеленый)|https://shop.mts.by//phones/xiaomi/xiaomi-redmi-10c-3-64gb-bez-nfc-myatno-zelenyy/|"Диагональ: 6.71 ""Камера: 50 МпАКБ: 5000 mAhОЗУ: 3 Гб"|от24руб./мес.от499.00руб.
